placetype_subject,geometry_type_subject,placetype_object,geometry_type_object,Sentence,place_name_subject,place_name_object,vernacular_relation,spatial_relation,relation_predicate
city,MultiPolygon,tourism,Polygon,"""Fowler is located 11 miles (18 km) southeast of downtown Fresno, at an elevation of 308 feet (94 m).""","Fowler, California","downtown Fresno, California",distance from,disjoint,has some distance from
village,Polygon,town,Polygon,"""Wheatland is located 12.5 miles (20 km) southeast of Marysville.""","Wheatland, California","Marysville, California",distance from,disjoint,has some distance from
city,Polygon,city,MultiPolygon,"""It is 27 miles (43 km) southeast of Tracy and is part of the Modesto Metropolitan Statistical Area.""","Tracy, California","Modesto, California",distance from,disjoint,has some distance from
city,Polygon,city,MultiPolygon,"""Coalinga (/Àåko ä.…ôÀàl…™≈ã…°…ô/ or /k…ôÀàl…™≈ã…°…ô/) is a city in Fresno County and the western San Joaquin Valley, in central California about 80 miles (128 km) southeast of Salinas.""","Coalinga, California","Salinas, California",distance from,disjoint,has some distance from
city,Polygon,city,MultiPolygon,"""Gonzales is located 16 miles (26 km) southeast of Salinas, at an elevation of 135 feet (41 m).""","Gonzales, California","Salinas, California",distance from,disjoint,has some distance from
city,Polygon,city,MultiPolygon,"""It is in the Salinas Valley, 21 miles (34 km) southeast of Salinas, the county seat.""","Soledad, California","Salinas, California",distance from,disjoint,has some distance from
town,Polygon,city,Polygon,"""Kingsburg is located 5 miles (8 km) southeast of Selma at an elevation of 302 feet (92 m), on the banks of the Kings River.""","Kingsburg, California","Selma, California",distance from,disjoint,has some distance from
town,MultiPolygon,city,MultiPolygon,"""Delano is located 31 miles (50 km) north-northwest of Bakersfield at an elevation of 315 feet (96 m).""","Delano, California","Bakersfield, California",distance from,disjoint,has some distance from
city,Polygon,city,MultiPolygon,"""Avenal is located 35 miles (56 km) southwest of Hanford, at an elevation of 807 ft (246 m).""","Avenal, California","Hanford, California",distance from,disjoint,has some distance from
city,Polygon,city,MultiPolygon,"""Kerman is located 15 miles (24 km) west of Fresno, at an elevation of 220 feet (67 m).""","Kerman, California","Fresno, California",distance from,disjoint,has some distance from
city,MultiPolygon,village,Polygon,"""Point Arena is located 32 miles (51 km) west of Hopland, at an elevation of 118 feet (36 m).""","Point Arena, California","Hopland, California",distance from,disjoint,has some distance from
city,Polygon,city,MultiPolygon,"""Anderson is a city in Shasta County, California, approximately 10 miles south of Redding.""","Anderson, California","Redding, California",distance from,disjoint,has some distance from
city,MultiPolygon,city,Polygon,"""The city is located approximately 45 miles (72 km) west of Palm Springs and 63 miles (101 km) east of Los Angeles.""","Redlands, California","Palm Springs, California",distance from,disjoint,has some distance from
city,MultiPolygon,building,Polygon,"""It lies 23 miles (37 km) east of Palm Springs, 75 miles (121 km) east of Riverside, 127 miles (204 km) east of Los Angeles, 148 miles (238 km) northeast of San Diego, and 250 miles (402 km) west of Phoenix.""","Indio, California","Phoenix, California",distance from,disjoint,has some distance from
city,MultiPolygon,water,Polygon,"""Firebaugh is a city in Fresno County, California, United States, on the west side of the San Joaquin River 38 miles (61 km) west of Fresno.""","Fresno, California","San Joaquin River, California",distance from,disjoint,has some distance from
city,MultiPolygon,national_park,Polygon,"""Visalia is 36 mi (58 km) west of Sequoia National Park, and 43 mi (69 km) south of Fresno.""","Visalia, California","Sequoia National Park, California",distance from,disjoint,has some distance from
city,MultiPolygon,city,Polygon,"""Livingston is located 7 miles (11 km) west-northwest of Atwater, at an elevation of 131 feet (40 m).""","Livingston, California","Atwater, California",distance from,disjoint,has some distance from
city,Polygon,town,Polygon,"""Weed is about 10 miles (16 km) west-northwest of Mount Shasta, a prominent northern California landmark, and the second-tallest volcano in the Cascade Range.""","Weed, California","Mount Shasta, California",distance from,disjoint,has some distance from
village,Polygon,city,MultiPolygon,"""Taft is located 32 miles (51 km) west-southwest of Bakersfield, at an elevation of 955 feet (291 m).""","Taft, California","Bakersfield, California",distance from,disjoint,has some distance from
town,Polygon,city,MultiPolygon,"""Lemoore is located 7.5 miles (12 km) west-southwest of Hanford, at an elevation of 230 feet (70 m).""","Lemoore, California","Hanford, California",distance from,disjoint,has some distance from
city,Polygon,city,MultiPolygon,"""It is the seat of government of Jefferson County, within the Beaumont‚ÄìPort Arthur metropolitan statistical area, located in Southeast Texas on the Neches River about 85 miles (137 km) east of Houston (city center to city center).""","""Beaumont"", Texas","""Houston"", Texas",distance from,disjoint,has some distance from
city,Polygon,city,Polygon,"""Corning is a city in Tehama County, California, that is located about 19 miles (31 km) south of Red Bluff and about 100 miles (160 km) north of Sacramento.""","Corning, California","Red Bluff, California",distance from,disjoint,has some distance from
town,Polygon,city,Polygon,"""Union City is a city in the San Francisco Bay Area in Alameda County, California, United States, located approximately 19 miles (31 km) south of Oakland, 30 miles (48 km) from San Francisco, and 20 miles (32 km) north of San Jose.""","Union City, California","Oakland, California",distance from,disjoint,has some distance from
town,MultiPolygon,building,Polygon,"""It is located about 20 miles (32 km) north-northwest of Ukiah, at an elevation of 1,391 feet (424 m).""","Ukiah, California","20 miles, California",distance from,disjoint,has some distance from
city,Polygon,city,Polygon,"""Lathrop is a city located 9 miles (14 km) south of Stockton in San Joaquin County, California, United States.""","Lathrop, California","Stockton, California",distance from,disjoint,has some distance from
city,MultiPolygon,city,Polygon,"""Modesto is located in the Central Valley, 68 miles (109 km) south of Sacramento and 90 miles (140 km) north of Fresno.""","Modesto, California","Sacramento, California",distance from,disjoint,has some distance from
city,Polygon,city,Polygon,"""Yucaipa (Serrano: Yukaipa't) is a city located 10 miles (16 km) east of San Bernardino, in San Bernardino County, California, United States.""","Yucaipa, California","San Bernardino, California",distance from,disjoint,has some distance from
town,Polygon,city,Polygon,"""Imperial is a city in Imperial County, California, 4 miles (6.4 km) north of El Centro.""","Imperial, California","El Centro, California",distance from,overlaps,has some distance from
town,Polygon,city,Polygon,"""Sausalito (Spanish for ""small willow grove"") is a city in Marin County, California, United States, located 1.5 miles (2.4 kilometers) southeast of Marin City, 8 miles (13 km) south-southeast of San Rafael, and about 4 miles (6 km) north of San Francisco from the Golden Gate Bridge.""","Sausalito, California","Marin City, California",distance from,touches,has some distance from
city,Polygon,city,MultiPolygon,"""Rocklin is a city in Placer County, California, about 22 miles (35 km) from Sacramento, and about 6.1 miles (9.8 km) northeast of Roseville in the Sacramento metropolitan area.""","Rocklin, California","Roseville, California",distance from,touches,has some distance from
county,Polygon,city,MultiPolygon,"""About 20 miles (32 km) south of San Francisco, the city borders Burlingame to the north, Hillsborough to the west, San Francisco Bay and Foster City to the east and Belmont to the south.""","San Mateo, California","San Francisco, California",distance from,touches,has some distance from
city,Polygon,city,Polygon,"""Larkspur is located 3 miles (4.8 km) south of San Rafael, at an elevation of 43 feet (13 m).""","Larkspur, California","San Rafael, California",distance from,touches,has some distance from
village,Polygon,city,Polygon,"""Dos Palos is located 27 miles (43 km) south-southwest of Merced, the county seat, at an elevation of 118 feet (36 m).""","Dos Palos, California","Merced, California",distance from,disjoint,has some distance from
city,MultiPolygon,city,MultiPolygon,"""The city is located along the central coast of California, 8 miles (13 km) west of Salinas and 8 miles (13 km) northeast of Monterey.""","Salinas, California","Monterey, California",distance from,disjoint,has some distance from
village,Polygon,city,MultiPolygon,"""Balcones Heights is an enclave of San Antonio, surrounded entirely by the city, thus some residents and out-of-town visitors erroneously consider it merely a neighborhood of the larger city rather than its own unique community which did so to prevent annexation.""","Balcones Heights, Texas","San Antonio, Texas",enclave of,touches,is an enclave of
census,MultiPolygon,town,Polygon,"""Lake San Marcos is an enclave, or county island, in the southwestern part of the city, within San Marcos' sphere of influence but technically an unincorporated community.""","Lake San Marcos, California","San Marcos, California",enclave of,touches,is an enclave of
city,Polygon,city,MultiPolygon,"""University Park and Highland Park together comprise the Park Cities, an enclave of Dallas.""","University Park, Texas","Dallas, Texas",enclave of,touches,is an enclave of
village,Polygon,city,MultiPolygon,"""It is an enclave of San Antonio and is part of the San Antonio Metropolitan Statistical Area.""","Castle Hills, Texas","San Antonio, Texas",enclave of,touches,is an enclave of
village,Polygon,city,MultiPolygon,"""It is an enclave of San Antonio and is part of the San Antonio Metropolitan Statistical Area.""","Shavano Park, Texas","San Antonio, Texas",enclave of,touches,is an enclave of
village,Polygon,city,MultiPolygon,"""It is an enclave of San Antonio and is part of the San Antonio Metropolitan Statistical Area.""","Kirby, Texas","San Antonio, Texas",enclave of,touches,is an enclave of
village,Polygon,city,MultiPolygon,"""It is an enclave of San Antonio and is part of the San Antonio Metropolitan Statistical Area.""","Hill Country Village, Texas","San Antonio, Texas",enclave of,touches,is an enclave of
town,Polygon,city,MultiPolygon,"Newark is an enclave, surrounded by the city of Fremont","Newark,california","Fremont,california",enclave of,touches,is an enclave of
town,MultiPolygon,city,MultiPolygon,"Located high on a hill, the city is an enclave completely surrounded by the city of Long Beach","Signal Hill,california","Long Beach,california",enclave of,touches,is an enclave of
